carrier,region,2030,2035,2040,units
solar,LU,1.2997098534981262,1.8796903647865078,2.459682368975851,GW_e
solar,LV,13.596229925113299,15.408621765765957,17.221016768400737,GW_e
solar,ME,2.1406717203439136,2.8401145349496635,3.539558039741202,GW_e
solar,MK,6.985256033433271,9.008488112574362,11.031720424064808,GW_e
solar,NL,34.15935609351945,40.47943041596629,55.790093788854676,GW_e
solar,NO,33.8984138400637,33.8984138400637,35.883116801100044,GW_e
solar,PL,123.66119438354845,130.45277816555793,168.2106114077287,GW_e
solar,PT,22.187283195197264,30.914755131657866,39.64223802563318,GW_e
solar,RO,83.58987049000423,98.40929502135235,116.82731639883914,GW_e
solar,RS,28.39124708382755,35.514761014256884,42.638276686760356,GW_e
solar,SE,28.103379148910868,35.86247440197683,43.62156814446308,GW_e
