countries,year,carriers,AL,GR,ME,BA,HR,RS,BE,FR,LU,NL,BG,MK,RO,CH,DE,IT,CZ,PL,SK,DK,SE,EE,LV,ES,PT,FI,GB,IE,HU,AT,SI,LT,NO
LU,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,2.5489508691862515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.618554118368236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,20.947774680866434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.54896689493953,0.0,0.0,0.0,0.0,0.492030413385535,0.0,0.0,0.0,0.0,0.0,0.0,16.804044364196734,0.0,0.0,0.0,0.0,0.0,3.109496573666492
BG,2035,elec,0.0,6.5132748678509,0.0,0.0,0.0,6.36548138185383,0.0,0.0,0.0,0.0,0.0,5.55172944805491,12.294073509086582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK,2035,elec,1.9496225401788327,10.197548959467042,0.0,0.0,0.0,8.720967133602128,0.0,0.0,0.0,0.0,0.9296773778808396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,2035,elec,0.0,0.0,0.0,0.0,0.0,14.08187626582745,0.0,0.0,0.0,0.0,4.458309148635017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.332168528867463,0.0,0.0,0.0,0.0
CH,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.696812150838632,0.0,0.0,0.0,0.0,0.0,0.0,72.97050521803328,49.31531448675222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.697597361567126,0.0,0.0,0.0
DE,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.274936394082786,4.670621481580069,23.884233172273404,0.0,0.0,0.0,27.735672115324228,0.0,0.0,10.25517990044554,17.420907347491593,0.0,1.0555354178060041,24.075851465132907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.328060167703974,0.0,0.0,7.102350300516667
IT,2035,elec,0.0,11.605336768578889,0.0,0.0,0.0,0.0,0.0,11.284003857021926,0.0,0.0,0.0,0.0,0.0,23.97806676243485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6981926851567997,5.856095308729615,0.0,0.0
CZ,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.597370176272989,0.0,0.0,17.32298313288166,7.430866758732848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.079633153788615,0.0,0.0,0.0
PL,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.538119378022099,0.0,13.040968100905337,0.0,9.261247436695937,0.0,4.357055119093042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5298612724708125,0.0
SK,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.93243265156003,14.857718426702023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.76598330541296,0.0,0.0,0.0,0.0
DK,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7550634396802103,0.0,0.0,0.0,0.0,3.0552743934122573,0.0,0.0,0.0,0.0,0.0,0.5214889129498466,0.0,0.0,0.0,0.0,0.0,7.106566762032994,0.0,0.0,0.0,0.0,0.0,8.085840156571031
SE,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.11728514507942,0.0,0.0,13.355288091901548,0.0,0.6884166265921232,0.0,0.0,0.0,0.0,0.0,0.2223451701125429,0.0,0.0,0.0,0.0,0.0,2.4783578952193084,24.56779122046713
EE,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.199093918812736,0.0,0.0,0.8392324993401133,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.929570081323017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.08921083950574,0.0
ES,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.42996446024642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.955146198212994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PT,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.780118259575486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FI,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7576636990702414,1.2891146150344321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,61.51471182163907,78.65171273969706,0.0,45.701817603154204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.448225941291869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.111462037308856,0.0,0.0,0.0,0.0,8.17927488422495
IE,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.33351225129263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.111159400278016,0.0,0.0,0.0,0.0,0.0,0.0
HU,2035,elec,0.0,0.0,0.0,0.0,8.397931008702862,5.0564824910011685,0.0,0.0,0.0,0.0,0.0,0.0,7.63354001591768,0.0,0.0,0.0,0.0,0.0,26.108146282607276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.048205229443276,0.0,0.0,0.0
AT,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.364869708919848,33.149653104046955,2.6660460623372533,9.020345880529067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4362483239732065,0.0,14.839862619530747,0.0,0.0
SI,2035,elec,0.0,0.0,0.0,0.0,7.919660021384865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.038347298628647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.31017774512639,0.0,0.0,0.0
LT,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.36907944183107,0.0,0.0,1.0077462267240214,0.0,5.823227659331964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,2035,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.026526784946839,0.0,0.0,0.0,0.0,24.46321010050061,0.0,0.0,0.0,0.0,10.078019467401152,25.70873081260556,0.0,0.0,0.0,0.0,0.0,13.309090420798702,0.0,0.0,0.0,0.0,0.0,0.0
AL,2040,elec,0.0,4.052113706675328,7.84047422655608,0.0,0.0,4.311272097986064,0.0,0.0,0.0,0.0,0.0,2.6107037438001157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR,2040,elec,7.02559566244282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.737278316703036,12.60391210286664,0.0,0.0,0.0,31.11253756339995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,2040,elec,2.3739112471603754,0.0,0.0,10.332616193220947,0.0,2.63685280606619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA,2040,elec,0.0,0.0,3.868530045055319,0.0,24.467159426064015,3.4627874672354904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,2040,elec,0.0,0.0,0.0,6.530688339037518,0.0,2.5550702169753374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.17406315055877,0.0,25.834471029971297,0.0,0.0
RS,2040,elec,2.148893665357343,0.0,4.1339499920540135,7.950629906949718,7.642966254914486,0.0,0.0,0.0,0.0,0.0,0.9774871744032567,3.9252757783596857,2.7921059357649085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.892673461699289,0.0,0.0,0.0,0.0
BE,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.67196599282509,11.79826821732928,23.9360404320499,0.0,0.0,0.0,0.0,2.4958739521260576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.03382266129313,0.0,0.0,0.0,0.0,0.0,0.0
FR,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,50.75890898560617,0.0,0.0,0.0,0.0,0.0,0.0,88.6487200131044,62.17753263070658,41.01960593187948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.6604555336271,0.0,0.0,56.966054310655025,20.559535445729917,0.0,0.0,0.0,0.0,0.0
LU,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,2.087788812834834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.985865456084774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NL,2040,elec,0.0,0.0,0.0,0.0,0.0,0.0,19.62557982722934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.18874776576584,0.0,0.0,0.0,0.0,0.5872664245289136,0.0,0.0,0.0,0.0,0.0,0.0,16.227461264566827,0.0,0.0,0.0,0.0,0.0,3.5895754505041744
BG,2040,elec,0.0,5.487062147520929,0.0,0.0,0.0,5.878627439218615,0.0,0.0,0.0,0.0,0.0,4.219771400333213,10.117581145905275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MK,2040,elec,2.879698183129998,9.796473495997287,0.0,0.0,0.0,12.073225073011814,0.0,0.0,0.0,0.0,1.9551006216391837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,2040,elec,0.0,0.0,0.0,0.0,0.0,16.113810859462546,0.0,0.0,0.0,0.0,6.752481147270388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.08985697542351,0.0,0.0,0.0,0.0
