node,carrier,2030,2035,2040,hist,units
AL,gas_extraction,5.772284,5.772284,5.772284,5.772284,GW_lhv
AL,gas_stores,4113627.1802822803,14319462.932705415,19610594.82723329,0.0,GW_e
AL,helmeth,2.208094428674856e-07,1.3326757868100925e-07,1.5451056622708426e-15,0.0,GW_e
AL,home battery,0.7462715282600518,0.7870998189894541,0.7870998189966969,0.0,GWh_e
AL,home battery charger,0.13302282596338474,0.1338888850289485,0.13302282596394233,0.0,GW_e
AL,home battery discharger,0.1357658532305971,0.13664977106299017,0.1357658532311662,0.0,GW_e
AL,hydro,1.4937,1.4937,1.4937,1.4937,GW_e
AL,offwind,7.288106743807424e-07,5.341083466685826e-07,9.111504953027275e-15,0.0,GW_e
AL,onwind,0.1500000145580206,0.1500006254017386,0.15000001455802575,0.0,GW_e
AL,ror,0.0482,0.0482,0.0482,0.0482,GW_e
AL,solar,2.367853138149531,8.673480962478632,8.673481203073878,0.02,GW_e
AT,CCGT,4.1373,0.0,0.0,4.1373,GW_e
AT,H2 Electrolysis,5.2068942646077085e-06,4.589629734145925e-06,2.757185466729184e-13,0.0,GW_e
AT,H2 Fuel Cell,6.205274158755885e-07,1.1341332055140607e-05,8.013223118847466e-14,0.0,GW_e
AT,H2 Store,1.794512211305521e-05,1.1851312294309533e-05,1.9913142103480757e-13,0.0,"GWh_lhv,h2"
AT,Haber-Bosch,0.2849093122849815,0.30162055356878636,0.2934568478751815,0.0,"GW_lhv,nh3"
AT,OCGT,5.0437926752486504e-06,0.0,0.0,0.0,GW_e
AT,PHS,5.0443,5.0443,5.0443,5.0443,GW_e
AT,Sabatier,8.194918228770268e-07,4.1927811738105273e-07,5.4647901310143286e-15,0.0,"GW_lhv,h2"
AT,ammonia cracker,6.731518677458569e-07,4.2655235620679604e-07,5.660346412289931e-15,0.0,"GW_lhv,nh3"
AT,ammonia store,119.3881042407512,259.85286876238746,259.8528687649949,0.0,GW_e
AT,battery,0.0002267889748552559,3.9681607376071377,13.118804709463541,0.0,GWh_e
AT,battery charger,7.295658456625373e-05,0.6749967422272202,2.231553998154532,0.0,GW_e
AT,battery discharger,7.295658456627392e-05,0.6749967422274069,2.231553998155149,0.0,GW_e
AT,biomass,3924554.5766780255,14014961.630430078,19451384.262574043,0.0,GW_e
AT,co2 stored,0.0024501698704586694,0.001597327201873918,2.387667749476998e-11,0.0,GW_e
AT,electricity distribution grid,13.25770369383205,13.834904201681626,13.834904201681653,0.0,GW_e
AT,gas_stores,4120981.2793206195,14264768.661521794,19614175.427765187,0.0,GW_e
AT,helmeth,2.2081111563131906e-07,1.332672180370595e-07,1.5450429313508121e-15,0.0,GW_e
AT,home battery,3.8287095103499564,5.413277412620655,6.254223846626124,0.0,GWh_e
AT,home battery charger,1.250451219372028,1.767968875505117,2.042620954853109,0.0,GW_e
AT,home battery discharger,1.276236431543062,1.8044256775462053,2.0847412822116906,0.0,GW_e
AT,hydro,3.4266199999999998,3.4266199999999998,3.4266199999999998,3.4266199999999998,GW_e
AT,onwind,9.000000145437642,8.949998007278982,8.174776483877364,3.73581,GW_e
AT,ror,4.7975,4.7975,4.7975,4.7975,GW_e
AT,solar,12.17302913016559,29.384045440695832,38.01447028946109,3.54242,GW_e
BA,H2 Electrolysis,1.8225915192834435e-05,0.07629111700777538,0.1343366191123106,0.0,GW_e
BA,H2 Fuel Cell,5.496514783478512e-07,1.2729946700571729e-06,1.586763472815456e-14,0.0,GW_e
BA,H2 Store,1.7970936544259316e-05,1.232976555247434e-05,2.7805808859657147e-13,0.0,"GWh_lhv,h2"
BA,Haber-Bosch,0.12348302770315142,0.14491641593558252,0.1814136143665769,0.0,"GW_lhv,nh3"
BA,OCGT,2.457704925851448e-06,0.0,0.0,0.0,GW_e
BA,PHS,0.44,0.44,0.44,0.44,GW_e
BA,Sabatier,8.194983156983923e-07,4.192783786242894e-07,5.464825430666768e-15,0.0,"GW_lhv,h2"
BA,ammonia cracker,6.710423404980016e-07,4.4075119993243217e-07,5.899110346164923e-15,0.0,"GW_lhv,nh3"
BA,ammonia store,21.183266595240912,115.69619162232208,169.09264142931895,0.0,GW_e
BA,battery,1.0387891544713512,10.778048766829507,22.50842216148888,0.0,GWh_e
BA,battery charger,0.33926694266785123,1.2737548424029255,2.7910281267494823,0.0,GW_e
BA,battery discharger,0.33926694266794516,1.2737548424032785,2.791028126750255,0.0,GW_e
BA,biomass,3924554.614833288,14014961.736923559,19451384.457068883,0.0,GW_e
BA,co2 stored,0.0024487652491232605,0.0015972887647142477,2.387647597502019e-11,0.0,GW_e
BA,electricity distribution grid,1.8061430417585265,1.806152109439012,1.8061430417586657,0.0,GW_e
BA,gas_stores,4113652.216536879,14319226.97428296,19610783.298026275,0.0,GW_e
BA,helmeth,2.2079969258426677e-07,1.3326721608193965e-07,1.545128107419906e-15,0.0,GW_e
BA,home battery,1.1581263822154884,2.3501456686329694,3.0738928475907823,0.0,GWh_e
BA,home battery charger,0.2663742808473999,0.47700786883137036,0.583742114069549,0.0,GW_e
BA,home battery discharger,0.27186711194880514,0.48684411747067874,0.5957793003518017,0.0,GW_e
BA,hydro,1.6955,1.6955,1.6955,1.6955,GW_e
BA,onwind,0.6997000060895927,0.6997007025595195,0.699700006089597,0.1347,GW_e
BA,solar,3.932345460157543,9.222874515023973,14.69807091144674,0.0993,GW_e
BE,CCGT,5.847896947849125,0.0,0.0,5.847896947849125,GW_e
BE,H2 Electrolysis,5.497451524986852e-06,8.719807091785116e-05,1.0403323195003016,0.0,GW_e
BE,H2 Fuel Cell,6.26588911689465e-07,3.5845688559438758,3.5845688559439584,0.0,GW_e
BE,H2 Store,1.7985933951487197e-05,1.1782052999466649e-05,1.978616821634616e-13,0.0,"GWh_lhv,h2"
