type,cost,country,carrier,units,2030,2035,2040
generators,fuel,SE,gas,Euro,232307275.4,0.00602426,6.38e-11
generators,fuel,SK,gas,Euro,1986714285.0,0.009572441,1.1e-10
generators,marginal,AL,onwind,Euro,70634.25315,69288.97707,69010.13018
generators,marginal,AL,solar,Euro,267.6552107,70225.85702,70332.54996
generators,marginal,AL,solar rooftop,Euro,31004.09313,39249.17279,39409.7291
generators,marginal,AT,onwind,Euro,13664360.9593,13502045.922530001,12740962.51635
generators,marginal,AT,solar,Euro,37210.173501,125519.861756,125767.31034699999
generators,marginal,AT,solar rooftop,Euro,90944.668358,179667.19312,268593.29806
generators,marginal,BA,onwind,Euro,390515.2475,382468.2044,380886.5229
generators,marginal,BA,solar,Euro,1151.903001,17686.7073,66178.47694
generators,marginal,BA,solar rooftop,Euro,44704.40546,83652.49505,93361.73413
generators,marginal,BE,offwind,Euro,165795.8494,165659.4378,165218.6229
generators,marginal,BE,offwind-ac,Euro,0.0986109,95001.22803,94757.54234
generators,marginal,BE,offwind-dc,Euro,161172.3606,160957.0114,160549.9387
generators,marginal,BE,onwind,Euro,11811195.168,14446999.848,13940084.612
generators,marginal,BE,solar,Euro,66125.49786,66125.67567,66125.42181
generators,marginal,BE,solar rooftop,Euro,0.887601376,108099.11951,216198.91239
generators,marginal,BG,onwind,Euro,1169162.3806,3852591.6451999997,11762953.570899999
generators,marginal,BG,solar,Euro,25121.50851,288982.43319999997,287097.1399
generators,marginal,BG,solar rooftop,Euro,94244.03915,180324.41316,209570.17810000002
generators,marginal,CH,biomass,Euro,2805283.97,12659001.21,4274458.457
generators,marginal,CH,onwind,Euro,148332.876771,145954.288441,145595.265814
generators,marginal,CH,solar,Euro,46639.86502,130308.19161000001,129909.00521
generators,marginal,CH,solar rooftop,Euro,82773.15192,165022.45625,242222.05644999997
generators,marginal,CZ,biomass,Euro,51296135.8,260864988.5,2.75e-11
generators,marginal,CZ,onwind,Euro,2094477.3653000002,2088965.3632,5075256.6438
generators,marginal,CZ,solar,Euro,25671.369294,25668.122599000002,25378.676691
generators,marginal,CZ,solar rooftop,Euro,17812.864990703,118239.87533000001,217385.08384
generators,marginal,DE,biomass,Euro,221351417.2,978421446.4,195525160.1
generators,marginal,DE,offwind,Euro,564212.85572,563477.01093,559925.79781
generators,marginal,DE,offwind-ac,Euro,309612.12984999997,309114.32045999996,307540.31168
generators,marginal,DE,offwind-dc,Euro,1501338.10893,1499918.0837299998,1490698.44921
generators,marginal,DE,onwind,Euro,256647719.15,239868823.892,211607532.19
generators,marginal,DE,solar,Euro,628715.05727,685618.39468,684926.2332
generators,marginal,DE,solar rooftop,Euro,219199.735532231,974982.563258,1725807.47347
generators,marginal,DK,offwind,Euro,169909.89205000002,165998.41262000002,138108.33778
generators,marginal,DK,offwind-ac,Euro,7367.8687559360005,1026429.833640544,1254257.925
generators,marginal,DK,offwind-dc,Euro,197340.19229,905485.5898600001,1252638.5365
generators,marginal,DK,onwind,Euro,89685731.33999999,80613312.7,79529868.83
generators,marginal,DK,solar,Euro,30571.07532,43238.93818,43239.32852
generators,marginal,DK,solar rooftop,Euro,13828.588233023,52318.599879999994,90808.90306
generators,marginal,EE,offwind-ac,Euro,5929.458712,5929.508556,5929.50232
generators,marginal,EE,offwind-dc,Euro,7165.950451,7166.018733,7165.990882
generators,marginal,EE,onwind,Euro,11793220.64,67055731.38,67664061.79
generators,marginal,EE,solar,Euro,5041.188854,5041.190204,5041.15469
generators,marginal,EE,solar rooftop,Euro,11071.50368,22143.00071,33213.67315
generators,marginal,ES,offwind-ac,Euro,159343.515358515,159016.13733601,158694.84072000277
generators,marginal,ES,offwind-dc,Euro,5401.655754,5386.478563,5387.238501
generators,marginal,ES,onwind,Euro,124274062.376,226662293.012,227916553.115
generators,marginal,ES,solar,Euro,1280507.2836499999,1605588.99236,1605583.31554
generators,marginal,ES,solar rooftop,Euro,600582.220354012,1231521.3463,1838958.65881
generators,marginal,FI,offwind,Euro,4037.5613292,4037.5238023,4037.5854942
generators,marginal,FI,offwind-dc,Euro,0.586190344,1351288.907531075,1351288.8838900048
generators,marginal,FI,onwind,Euro,17226284.112999998,183150531.215,182287221.534
generators,marginal,FI,solar,Euro,4915.684477000001,4915.6654340000005,4915.60181
generators,marginal,FI,solar rooftop,Euro,23223.200761996002,60322.12791616999,97421.31995000031
generators,marginal,FR,biomass,Euro,15146591.03,93941963.31,30554521.7
generators,marginal,FR,offwind,Euro,26226.272109,26193.463622,26148.214574
generators,marginal,FR,offwind-ac,Euro,142175.01578095302,472734.89131583,860359.7750650117
generators,marginal,FR,offwind-dc,Euro,225799.43679202802,313265.930086994,312359.20441002585
generators,marginal,FR,onwind,Euro,128241531.00439,332303114.80439997,351457065.11987
generators,marginal,FR,solar,Euro,291629.575524,1418650.584647,1418711.540637
generators,marginal,FR,solar rooftop,Euro,306518.039293699,996753.59396,1686584.62549
generators,marginal,GB,biomass,Euro,136618520.9359,922236779.6509999,367421417.056
generators,marginal,GB,offwind,Euro,1023307.21812,1023307.32368,1007403.18216
generators,marginal,GB,offwind-ac,Euro,531356.224890413,3268268.0286191283,3485819.4226001035
generators,marginal,GB,offwind-dc,Euro,1771810.7964418898,1771805.55378489,1771805.1301860164
generators,marginal,GB,onwind,Euro,268485252.322,467195856.999,463564532.545
generators,marginal,GB,solar,Euro,134909.528799,308763.678727,308762.458361
generators,marginal,GB,solar rooftop,Euro,93792.08486004,639861.994685297,1185933.133130002
generators,marginal,GR,offwind-dc,Euro,0.085923981,321625.98335,321860.10319
generators,marginal,GR,onwind,Euro,11027826.662999999,49193682.016,49202720.441
generators,marginal,GR,solar,Euro,161687.71432,287824.0031,287946.2987
generators,marginal,GR,solar rooftop,Euro,120095.96061000001,239503.18709999998,354272.8772
generators,marginal,HR,onwind,Euro,1475913.239,1453043.587,1452784.715
generators,marginal,HR,solar,Euro,2124.747091,91617.32169,91254.40963
generators,marginal,HR,solar rooftop,Euro,45066.84661,88199.3657,124084.5605
generators,marginal,HU,onwind,Euro,606320.8626999999,34791348.384100005,38199065.344
generators,marginal,HU,solar,Euro,34117.27721,179585.11744,180133.429
generators,marginal,HU,solar rooftop,Euro,112581.74089,222787.95984,329441.9172
generators,marginal,IE,offwind,Euro,1886.695367,1886.746891,0.0
generators,marginal,IE,offwind-ac,Euro,242869.0897,801784.2439,801784.3452
generators,marginal,IE,offwind-dc,Euro,21792.9499,21793.01872,21793.04243
generators,marginal,IE,onwind,Euro,24086006.33,137257732.5,137648433.0
generators,marginal,IE,solar rooftop,Euro,0.408892416,38044.11367,76088.26298
generators,marginal,IT,offwind-ac,Euro,14576.735009032,73647.53051152501,73427.11376013444
generators,marginal,IT,offwind-dc,Euro,18579.760843624,18454.450238731,18423.22686810041
generators,marginal,IT,onwind,Euro,26697757.4757,63121649.55593,62020518.44303
generators,marginal,IT,solar,Euro,642391.45072,1001665.37738,1003538.30443
generators,marginal,IT,solar rooftop,Euro,716143.1973,1427387.29537,2139293.60475
generators,marginal,LT,offwind-ac,Euro,21885.23734,21885.30056,21833.52805
generators,marginal,LT,offwind-dc,Euro,25051.09713,25051.25932,25002.24726
generators,marginal,LT,onwind,Euro,2751492.573,2601311.662,2637321.33
generators,marginal,LT,solar,Euro,3750.327931,3750.331097,3747.606644
generators,marginal,LT,solar rooftop,Euro,18577.32176,45021.29911,59425.15078
generators,marginal,LU,onwind,Euro,1121097.643,1077418.764,1019775.103
generators,marginal,LU,solar,Euro,2972.425076,2972.561254,2972.40526
generators,marginal,LU,solar rooftop,Euro,5502.677529,11005.32655,16508.28634
generators,marginal,LV,offwind-ac,Euro,3927.87211,3927.921379,3917.07478
generators,marginal,LV,offwind-dc,Euro,4527.762151,4527.829372,4517.849942
generators,marginal,LV,onwind,Euro,555796.4138,513817.2753,457174.1311
generators,marginal,LV,solar rooftop,Euro,17344.98558,34689.98551,51828.87069
generators,marginal,ME,onwind,Euro,121382.4059,119408.922,119003.0048
generators,marginal,ME,solar,Euro,235.635986,17286.59656,17228.16823
generators,marginal,ME,solar rooftop,Euro,8449.989764,16557.26214,24006.28311
generators,marginal,MK,onwind,Euro,52161.64372,48923.4775,48674.19424
generators,marginal,MK,solar,Euro,1130.368003,65232.67307,65139.50423
generators,marginal,MK,solar rooftop,Euro,26935.70111,52265.65794,69965.39734
generators,marginal,NL,offwind,Euro,196673.86204,196395.98844,195143.79906
generators,marginal,NL,offwind-ac,Euro,227941.02138,227718.59720000002,226329.07712
generators,marginal,NL,offwind-dc,Euro,492541.884166558,3844846.4058809998,3836925.5143131
generators,marginal,NL,onwind,Euro,39036161.2,44268322.619,41942632.372
generators,marginal,NL,solar,Euro,178712.8567,178712.78075,178712.87193
generators,marginal,NL,solar rooftop,Euro,60985.741870786,206919.153963,352854.07347
generators,marginal,NO,offwind,Euro,3027.1405981000003,3027.1224132,3027.1651825999998
generators,marginal,NO,offwind-ac,Euro,0.203723771,250640.55944911102,250640.3650000029
generators,marginal,NO,offwind-dc,Euro,0.442800327,191552.637739814,191552.74141600184
generators,marginal,NO,onwind,Euro,16812482.926,52457006.941,51935732.99
generators,marginal,NO,solar,Euro,2168.0023455,2167.9892624,2167.9231488
generators,marginal,NO,solar rooftop,Euro,1.7741740579999998,18008.599178665,36017.009110002604
generators,marginal,PL,offwind-ac,Euro,190419.18695210002,190365.53491606502,189513.19040000357
generators,marginal,PL,offwind-dc,Euro,223418.05955,223353.88497999997,222313.09964
generators,marginal,PL,onwind,Euro,32433222.240999997,174133656.849,187648394.302
generators,marginal,PL,solar,Euro,105103.83974,105103.84916,105046.43055
generators,marginal,PL,solar rooftop,Euro,64461.528008551,419529.48851,759035.91702
generators,marginal,PT,offwind,Euro,1171.1244081,1169.8343567000002,1168.6631616
generators,marginal,PT,offwind-ac,Euro,5100.004409637,5093.121104958999,5085.289982000559
generators,marginal,PT,onwind,Euro,18843937.996,18648578.518,52257961.401
generators,marginal,PT,solar,Euro,143132.79825,199849.17511,199835.60801999999
generators,marginal,PT,solar rooftop,Euro,128530.66167999999,257042.7086,380558.2509
generators,marginal,RO,offwind-ac,Euro,0.11037844,79736.7369,79055.89922
generators,marginal,RO,offwind-dc,Euro,0.127570909,63306.64472,62570.65675
generators,marginal,RO,onwind,Euro,6593820.591,6419206.336,6367267.876
generators,marginal,RO,solar,Euro,16995.985741,183711.335403,586231.2527000001
generators,marginal,RO,solar rooftop,Euro,178639.557964497,371812.09653,424566.70203
generators,marginal,RS,onwind,Euro,4452749.5035,4394312.5092,4390823.5179
generators,marginal,RS,solar,Euro,0.135024873,203038.41256000003,251563.25486
generators,marginal,RS,solar rooftop,Euro,85533.14142,168266.15583,252522.62440000003
generators,marginal,SE,offwind,Euro,11867.121639,11110.86178,11110.907889
generators,marginal,SE,offwind-ac,Euro,24198.601405191,229330.11099099598,229307.12370000692
generators,marginal,SE,offwind-dc,Euro,46786.954432698,234084.29957418801,234083.97744000587
generators,marginal,SE,onwind,Euro,44807087.447,133934866.864,217700261.77
generators,marginal,SE,solar,Euro,23784.390827,23784.329457,23784.134488
generators,marginal,SE,solar rooftop,Euro,76503.50201729599,153007.19193988,233473.75064300362
generators,marginal,SI,onwind,Euro,104883.5642,103607.3727,103030.388
generators,marginal,SI,solar,Euro,6908.479752,6532.189146,6514.243899
generators,marginal,SI,solar rooftop,Euro,0.850049666,23658.48112,47232.55779
generators,marginal,SK,onwind,Euro,834247.2491,829766.6425,820919.6698
generators,marginal,SK,solar,Euro,6966.579505,6865.418622,6742.602256
generators,marginal,SK,solar rooftop,Euro,58132.38444,115762.0457,166900.9132
lines,capital,,AC,Euro,7104123160.0,10074434273.0,10410490341.0
links,capital,,DC,Euro,5121695653.0,11514259416.0,12559502812.0
links,capital,AL,H2 Electrolysis,Euro,4779.89758,26910111.01,65440969.04
links,capital,AL,Haber-Bosch,Euro,253057.3159,6626398.904,9899611.741
links,capital,AL,battery charger,Euro,7009689.058,35539154.14,39238152.5
links,capital,AL,electricity distribution grid,Euro,39414646.7,39415418.96,39414646.7
links,capital,AL,home battery charger,Euro,4422479.17,4446163.256,4422479.17
links,capital,AT,CCGT,Euro,409707424.4,0.0,0.0
links,capital,AT,H2 Fuel Cell,Euro,131.3130661,2236.362567,1.46e-05
links,capital,AT,Haber-Bosch,Euro,9258139.842,9751729.629,9485314.058
links,capital,AT,battery charger,Euro,1701.668593,12862113.79,35864528.2
links,capital,AT,electricity distribution grid,Euro,629801505.7,657221167.3,657221167.3
links,capital,AT,home battery charger,Euro,41572522.84,55725059.9,61592780.09
links,capital,BA,H2 Electrolysis,Euro,747.2079608,2585965.163,4148555.455
links,capital,BA,Haber-Bosch,Euro,4012586.073,4645651.047,5552250.397
links,capital,BA,battery charger,Euro,7913198.026,25719935.37,48141821.06
links,capital,BA,electricity distribution grid,Euro,85800047.54,85800478.3,85800047.54
links,capital,BA,home battery charger,Euro,8855883.942,14616073.23,16896364.31
links,capital,BE,CCGT,Euro,579103955.9,0.0,0.0
links,capital,BE,H2 Electrolysis,Euro,225.379055,2955.667482,28005842.37
